Statistic Label,Year,Sex,County,Age Group,UNIT,VALUE,Upper_County
Mean Annual Earnings,2016,Male,Mayo,15 - 24 years,Euro,18434,MAYO
Mean Annual Earnings,2016,Male,Mayo,15 years and over,Euro,38798,MAYO
Mean Annual Earnings,2016,Male,Mayo,25 - 29 years,Euro,29921,MAYO
Mean Annual Earnings,2016,Male,Mayo,30 - 39 years,Euro,37782,MAYO
Mean Annual Earnings,2016,Male,Mayo,40 - 49 years,Euro,45566,MAYO
Mean Annual Earnings,2016,Male,Mayo,50 - 59 years,Euro,43182,MAYO
Mean Annual Earnings,2016,Male,Mayo,60 years and over,Euro,32858,MAYO
Mean Annual Earnings,2016,Male,Offaly,15 - 24 years,Euro,19914,OFFALY
Mean Annual Earnings,2016,Male,Offaly,15 years and over,Euro,39643,OFFALY
Mean Annual Earnings,2016,Male,Offaly,25 - 29 years,Euro,28649,OFFALY
Mean Annual Earnings,2016,Male,Offaly,30 - 39 years,Euro,38488,OFFALY
Mean Annual Earnings,2016,Male,Offaly,40 - 49 years,Euro,45706,OFFALY
Mean Annual Earnings,2016,Male,Offaly,50 - 59 years,Euro,44726,OFFALY
Mean Annual Earnings,2016,Male,Offaly,60 years and over,Euro,37681,OFFALY
Mean Annual Earnings,2016,Male,Roscommon,15 - 24 years,Euro,18996,ROSCOMMON
Mean Annual Earnings,2016,Male,Roscommon,15 years and over,Euro,39712,ROSCOMMON
Mean Annual Earnings,2016,Male,Roscommon,25 - 29 years,Euro,29974,ROSCOMMON
Mean Annual Earnings,2016,Male,Roscommon,30 - 39 years,Euro,38931,ROSCOMMON
Mean Annual Earnings,2016,Male,Roscommon,40 - 49 years,Euro,45757,ROSCOMMON
Mean Annual Earnings,2016,Male,Roscommon,50 - 59 years,Euro,43837,ROSCOMMON
Mean Annual Earnings,2016,Male,Roscommon,60 years and over,Euro,34421,ROSCOMMON
Mean Annual Earnings,2016,Male,Sligo,15 - 24 years,Euro,17852,SLIGO
Mean Annual Earnings,2016,Male,Sligo,15 years and over,Euro,40882,SLIGO
Mean Annual Earnings,2016,Male,Sligo,25 - 29 years,Euro,29212,SLIGO
Mean Annual Earnings,2016,Male,Sligo,30 - 39 years,Euro,37892,SLIGO
Mean Annual Earnings,2016,Male,Sligo,40 - 49 years,Euro,47492,SLIGO
Mean Annual Earnings,2016,Male,Sligo,50 - 59 years,Euro,47906,SLIGO
Mean Annual Earnings,2016,Male,Sligo,60 years and over,Euro,35919,SLIGO
Mean Annual Earnings,2016,Male,Tipperary,15 - 24 years,Euro,18941,TIPPERARY
Mean Annual Earnings,2016,Male,Tipperary,15 years and over,Euro,41172,TIPPERARY
Mean Annual Earnings,2016,Male,Tipperary,25 - 29 years,Euro,30049,TIPPERARY
Mean Annual Earnings,2016,Male,Tipperary,30 - 39 years,Euro,39397,TIPPERARY
Mean Annual Earnings,2016,Male,Tipperary,40 - 49 years,Euro,48153,TIPPERARY
Mean Annual Earnings,2016,Male,Tipperary,50 - 59 years,Euro,47175,TIPPERARY
Mean Annual Earnings,2016,Male,Tipperary,60 years and over,Euro,34444,TIPPERARY
Mean Annual Earnings,2016,Male,Waterford,15 - 24 years,Euro,18672,WATERFORD
Mean Annual Earnings,2016,Male,Waterford,15 years and over,Euro,42685,WATERFORD
Mean Annual Earnings,2016,Male,Waterford,25 - 29 years,Euro,29173,WATERFORD
Mean Annual Earnings,2016,Male,Waterford,30 - 39 years,Euro,39182,WATERFORD
Mean Annual Earnings,2016,Male,Waterford,40 - 49 years,Euro,50001,WATERFORD
Mean Annual Earnings,2016,Male,Waterford,50 - 59 years,Euro,50990,WATERFORD
Mean Annual Earnings,2016,Male,Waterford,60 years and over,Euro,38594,WATERFORD
Mean Annual Earnings,2016,Male,Wicklow,15 - 24 years,Euro,18795,WICKLOW
Mean Annual Earnings,2016,Male,Wicklow,15 years and over,Euro,50471,WICKLOW
Mean Annual Earnings,2016,Male,Wicklow,25 - 29 years,Euro,30119,WICKLOW
Mean Annual Earnings,2016,Male,Wicklow,30 - 39 years,Euro,44903,WICKLOW
Mean Annual Earnings,2016,Male,Wicklow,40 - 49 years,Euro,62224,WICKLOW
Mean Annual Earnings,2016,Male,Wicklow,50 - 59 years,Euro,61339,WICKLOW
Mean Annual Earnings,2016,Male,Wicklow,60 years and over,Euro,43130,WICKLOW
Mean Annual Earnings,2016,Male,Westmeath,15 - 24 years,Euro,20615,WESTMEATH
Mean Annual Earnings,2016,Male,Westmeath,15 years and over,Euro,42257,WESTMEATH
Mean Annual Earnings,2016,Male,Westmeath,25 - 29 years,Euro,30045,WESTMEATH
Mean Annual Earnings,2016,Male,Westmeath,30 - 39 years,Euro,41304,WESTMEATH
Mean Annual Earnings,2016,Male,Westmeath,40 - 49 years,Euro,48979,WESTMEATH
Mean Annual Earnings,2016,Male,Westmeath,50 - 59 years,Euro,47741,WESTMEATH
Mean Annual Earnings,2016,Male,Westmeath,60 years and over,Euro,39176,WESTMEATH
Mean Annual Earnings,2016,Male,Wexford,15 - 24 years,Euro,19657,WEXFORD
Mean Annual Earnings,2016,Male,Wexford,15 years and over,Euro,38667,WEXFORD
Mean Annual Earnings,2016,Male,Wexford,25 - 29 years,Euro,29122,WEXFORD
Mean Annual Earnings,2016,Male,Wexford,30 - 39 years,Euro,37399,WEXFORD
Mean Annual Earnings,2016,Male,Wexford,40 - 49 years,Euro,44475,WEXFORD
Mean Annual Earnings,2016,Male,Wexford,50 - 59 years,Euro,44153,WEXFORD
Mean Annual Earnings,2016,Male,Wexford,60 years and over,Euro,34718,WEXFORD
Mean Annual Earnings,2016,Male,Ireland,15 - 24 years,Euro,19867,IRELAND
Mean Annual Earnings,2016,Male,Ireland,15 years and over,Euro,47108,IRELAND
Mean Annual Earnings,2016,Male,Ireland,25 - 29 years,Euro,32760,IRELAND
Mean Annual Earnings,2016,Male,Ireland,30 - 39 years,Euro,44569,IRELAND
Mean Annual Earnings,2016,Male,Ireland,40 - 49 years,Euro,56236,IRELAND
Mean Annual Earnings,2016,Male,Ireland,50 - 59 years,Euro,55636,IRELAND
Mean Annual Earnings,2016,Male,Ireland,60 years and over,Euro,42091,IRELAND
Mean Annual Earnings,2016,Female,Clare,15 - 24 years,Euro,17388,CLARE
Mean Annual Earnings,2016,Female,Clare,15 years and over,Euro,33756,CLARE
Mean Annual Earnings,2016,Female,Clare,25 - 29 years,Euro,27917,CLARE
Mean Annual Earnings,2016,Female,Clare,30 - 39 years,Euro,35084,CLARE
Mean Annual Earnings,2016,Female,Clare,40 - 49 years,Euro,37939,CLARE
Mean Annual Earnings,2016,Female,Clare,50 - 59 years,Euro,35183,CLARE
Mean Annual Earnings,2016,Female,Clare,60 years and over,Euro,26041,CLARE
Mean Annual Earnings,2016,Female,Cork,15 - 24 years,Euro,16501,CORK
Mean Annual Earnings,2016,Female,Cork,15 years and over,Euro,34095,CORK
Mean Annual Earnings,2016,Female,Cork,25 - 29 years,Euro,29048,CORK
Mean Annual Earnings,2016,Female,Cork,30 - 39 years,Euro,36348,CORK
Mean Annual Earnings,2016,Female,Cork,40 - 49 years,Euro,38888,CORK
Mean Annual Earnings,2016,Female,Cork,50 - 59 years,Euro,35417,CORK
Mean Annual Earnings,2016,Female,Cork,60 years and over,Euro,25201,CORK
Mean Annual Earnings,2016,Female,Cavan,15 - 24 years,Euro,17602,CAVAN
Mean Annual Earnings,2016,Female,Cavan,15 years and over,Euro,31438,CAVAN
Mean Annual Earnings,2016,Female,Cavan,25 - 29 years,Euro,27770,CAVAN
Mean Annual Earnings,2016,Female,Cavan,30 - 39 years,Euro,33627,CAVAN
Mean Annual Earnings,2016,Female,Cavan,40 - 49 years,Euro,34619,CAVAN
Mean Annual Earnings,2016,Female,Cavan,50 - 59 years,Euro,32276,CAVAN
Mean Annual Earnings,2016,Female,Cavan,60 years and over,Euro,24105,CAVAN
Mean Annual Earnings,2016,Female,Carlow,15 - 24 years,Euro,16166,CARLOW
Mean Annual Earnings,2016,Female,Carlow,15 years and over,Euro,31090,CARLOW
Mean Annual Earnings,2016,Female,Carlow,25 - 29 years,Euro,25882,CARLOW
Mean Annual Earnings,2016,Female,Carlow,30 - 39 years,Euro,32199,CARLOW
Mean Annual Earnings,2016,Female,Carlow,40 - 49 years,Euro,34996,CARLOW
Mean Annual Earnings,2016,Female,Carlow,50 - 59 years,Euro,33183,CARLOW
Mean Annual Earnings,2016,Female,Carlow,60 years and over,Euro,23405,CARLOW
Mean Annual Earnings,2016,Female,Donegal,15 - 24 years,Euro,14264,DONEGAL
Mean Annual Earnings,2016,Female,Donegal,15 years and over,Euro,29560,DONEGAL
Mean Annual Earnings,2016,Female,Donegal,25 - 29 years,Euro,23300,DONEGAL
Mean Annual Earnings,2016,Female,Donegal,30 - 39 years,Euro,30763,DONEGAL
Mean Annual Earnings,2016,Female,Donegal,40 - 49 years,Euro,33011,DONEGAL
Mean Annual Earnings,2016,Female,Donegal,50 - 59 years,Euro,32248,DONEGAL
Mean Annual Earnings,2016,Female,Donegal,60 years and over,Euro,23847,DONEGAL
Mean Annual Earnings,2016,Female,Dublin,15 - 24 years,Euro,18998,DUBLIN
Mean Annual Earnings,2016,Female,Dublin,15 years and over,Euro,39989,DUBLIN
Mean Annual Earnings,2016,Female,Dublin,25 - 29 years,Euro,32407,DUBLIN
Mean Annual Earnings,2016,Female,Dublin,30 - 39 years,Euro,42558,DUBLIN
Mean Annual Earnings,2016,Female,Dublin,40 - 49 years,Euro,46945,DUBLIN
Mean Annual Earnings,2016,Female,Dublin,50 - 59 years,Euro,41457,DUBLIN
Mean Annual Earnings,2016,Female,Dublin,60 years and over,Euro,30697,DUBLIN
Mean Annual Earnings,2016,Female,Galway,15 - 24 years,Euro,17412,GALWAY
Mean Annual Earnings,2016,Female,Galway,15 years and over,Euro,34542,GALWAY
Mean Annual Earnings,2016,Female,Galway,25 - 29 years,Euro,28649,GALWAY
Mean Annual Earnings,2016,Female,Galway,30 - 39 years,Euro,35498,GALWAY
Mean Annual Earnings,2016,Female,Galway,40 - 49 years,Euro,38880,GALWAY
Mean Annual Earnings,2016,Female,Galway,50 - 59 years,Euro,36596,GALWAY
Mean Annual Earnings,2016,Female,Galway,60 years and over,Euro,27886,GALWAY
Mean Annual Earnings,2016,Female,Kildare,15 - 24 years,Euro,16990,KILDARE
Mean Annual Earnings,2016,Female,Kildare,15 years and over,Euro,36441,KILDARE
Mean Annual Earnings,2016,Female,Kildare,25 - 29 years,Euro,29912,KILDARE
Mean Annual Earnings,2016,Female,Kildare,30 - 39 years,Euro,38615,KILDARE
Mean Annual Earnings,2016,Female,Kildare,40 - 49 years,Euro,41748,KILDARE
Mean Annual Earnings,2016,Female,Kildare,50 - 59 years,Euro,37581,KILDARE
Mean Annual Earnings,2016,Female,Kildare,60 years and over,Euro,28431,KILDARE
Mean Annual Earnings,2016,Female,Kilkenny,15 - 24 years,Euro,16497,KILKENNY
Mean Annual Earnings,2016,Female,Kilkenny,15 years and over,Euro,32964,KILKENNY
Mean Annual Earnings,2016,Female,Kilkenny,25 - 29 years,Euro,28000,KILKENNY
Mean Annual Earnings,2016,Female,Kilkenny,30 - 39 years,Euro,35531,KILKENNY
Mean Annual Earnings,2016,Female,Kilkenny,40 - 49 years,Euro,36497,KILKENNY
Mean Annual Earnings,2016,Female,Kilkenny,50 - 59 years,Euro,34240,KILKENNY
Mean Annual Earnings,2016,Female,Kilkenny,60 years and over,Euro,23801,KILKENNY
Mean Annual Earnings,2016,Female,Kerry,15 - 24 years,Euro,16748,KERRY
Mean Annual Earnings,2016,Female,Kerry,15 years and over,Euro,30435,KERRY
Mean Annual Earnings,2016,Female,Kerry,25 - 29 years,Euro,25980,KERRY
Mean Annual Earnings,2016,Female,Kerry,30 - 39 years,Euro,31410,KERRY
Mean Annual Earnings,2016,Female,Kerry,40 - 49 years,Euro,33469,KERRY
Mean Annual Earnings,2016,Female,Kerry,50 - 59 years,Euro,32563,KERRY
Mean Annual Earnings,2016,Female,Kerry,60 years and over,Euro,23694,KERRY
Mean Annual Earnings,2016,Female,Longford,15 - 24 years,Euro,17004,LONGFORD
Mean Annual Earnings,2016,Female,Longford,15 years and over,Euro,31097,LONGFORD
Mean Annual Earnings,2016,Female,Longford,25 - 29 years,Euro,26949,LONGFORD
Mean Annual Earnings,2016,Female,Longford,30 - 39 years,Euro,32334,LONGFORD
Mean Annual Earnings,2016,Female,Longford,40 - 49 years,Euro,34790,LONGFORD
Mean Annual Earnings,2016,Female,Longford,50 - 59 years,Euro,32604,LONGFORD
Mean Annual Earnings,2016,Female,Longford,60 years and over,Euro,25260,LONGFORD
Mean Annual Earnings,2016,Female,Louth,15 - 24 years,Euro,16546,LOUTH
Mean Annual Earnings,2016,Female,Louth,15 years and over,Euro,32271,LOUTH
Mean Annual Earnings,2016,Female,Louth,25 - 29 years,Euro,27232,LOUTH
Mean Annual Earnings,2016,Female,Louth,30 - 39 years,Euro,33161,LOUTH
Mean Annual Earnings,2016,Female,Louth,40 - 49 years,Euro,36504,LOUTH
Mean Annual Earnings,2016,Female,Louth,50 - 59 years,Euro,34054,LOUTH
Mean Annual Earnings,2016,Female,Louth,60 years and over,Euro,27485,LOUTH
Mean Annual Earnings,2016,Female,Limerick,15 - 24 years,Euro,16978,LIMERICK
Mean Annual Earnings,2016,Female,Limerick,15 years and over,Euro,33403,LIMERICK
Mean Annual Earnings,2016,Female,Limerick,25 - 29 years,Euro,27714,LIMERICK
Mean Annual Earnings,2016,Female,Limerick,30 - 39 years,Euro,35453,LIMERICK
Mean Annual Earnings,2016,Female,Limerick,40 - 49 years,Euro,37662,LIMERICK
Mean Annual Earnings,2016,Female,Limerick,50 - 59 years,Euro,35525,LIMERICK
Mean Annual Earnings,2016,Female,Limerick,60 years and over,Euro,26004,LIMERICK
Mean Annual Earnings,2016,Female,Leitrim,15 - 24 years,Euro,15410,LEITRIM
Mean Annual Earnings,2016,Female,Leitrim,15 years and over,Euro,32179,LEITRIM
Mean Annual Earnings,2016,Female,Leitrim,25 - 29 years,Euro,28452,LEITRIM
Mean Annual Earnings,2016,Female,Leitrim,30 - 39 years,Euro,34204,LEITRIM
Mean Annual Earnings,2016,Female,Leitrim,40 - 49 years,Euro,35875,LEITRIM
Mean Annual Earnings,2016,Female,Leitrim,50 - 59 years,Euro,32957,LEITRIM
Mean Annual Earnings,2016,Female,Leitrim,60 years and over,Euro,24604,LEITRIM
Mean Annual Earnings,2016,Female,Laois,15 - 24 years,Euro,15772,LAOIS
Mean Annual Earnings,2016,Female,Laois,15 years and over,Euro,32980,LAOIS
Mean Annual Earnings,2016,Female,Laois,25 - 29 years,Euro,28678,LAOIS
Mean Annual Earnings,2016,Female,Laois,30 - 39 years,Euro,35307,LAOIS
Mean Annual Earnings,2016,Female,Laois,40 - 49 years,Euro,35993,LAOIS
Mean Annual Earnings,2016,Female,Laois,50 - 59 years,Euro,34109,LAOIS
Mean Annual Earnings,2016,Female,Laois,60 years and over,Euro,26763,LAOIS
Mean Annual Earnings,2016,Female,Meath,15 - 24 years,Euro,17295,MEATH
Mean Annual Earnings,2016,Female,Meath,15 years and over,Euro,35301,MEATH
Mean Annual Earnings,2016,Female,Meath,25 - 29 years,Euro,28932,MEATH
Mean Annual Earnings,2016,Female,Meath,30 - 39 years,Euro,36947,MEATH
Mean Annual Earnings,2016,Female,Meath,40 - 49 years,Euro,39687,MEATH
Mean Annual Earnings,2016,Female,Meath,50 - 59 years,Euro,36855,MEATH
Mean Annual Earnings,2016,Female,Meath,60 years and over,Euro,27693,MEATH
Mean Annual Earnings,2016,Female,Monaghan,15 - 24 years,Euro,16249,MONAGHAN
Mean Annual Earnings,2016,Female,Monaghan,15 years and over,Euro,30020,MONAGHAN
Mean Annual Earnings,2016,Female,Monaghan,25 - 29 years,Euro,27163,MONAGHAN
Mean Annual Earnings,2016,Female,Monaghan,30 - 39 years,Euro,31403,MONAGHAN
Mean Annual Earnings,2016,Female,Monaghan,40 - 49 years,Euro,32520,MONAGHAN
Mean Annual Earnings,2016,Female,Monaghan,50 - 59 years,Euro,32546,MONAGHAN
Mean Annual Earnings,2016,Female,Monaghan,60 years and over,Euro,23896,MONAGHAN
Mean Annual Earnings,2016,Female,Mayo,15 - 24 years,Euro,15727,MAYO
Mean Annual Earnings,2016,Female,Mayo,15 years and over,Euro,31547,MAYO
Mean Annual Earnings,2016,Female,Mayo,25 - 29 years,Euro,27637,MAYO
Mean Annual Earnings,2016,Female,Mayo,30 - 39 years,Euro,33427,MAYO
Mean Annual Earnings,2016,Female,Mayo,40 - 49 years,Euro,35414,MAYO
Mean Annual Earnings,2016,Female,Mayo,50 - 59 years,Euro,33010,MAYO
Mean Annual Earnings,2016,Female,Mayo,60 years and over,Euro,24050,MAYO
Mean Annual Earnings,2016,Female,Offaly,15 - 24 years,Euro,16441,OFFALY
Mean Annual Earnings,2016,Female,Offaly,15 years and over,Euro,31945,OFFALY
Mean Annual Earnings,2016,Female,Offaly,25 - 29 years,Euro,26759,OFFALY
Mean Annual Earnings,2016,Female,Offaly,30 - 39 years,Euro,34327,OFFALY
Mean Annual Earnings,2016,Female,Offaly,40 - 49 years,Euro,35491,OFFALY
Mean Annual Earnings,2016,Female,Offaly,50 - 59 years,Euro,32829,OFFALY
Mean Annual Earnings,2016,Female,Offaly,60 years and over,Euro,25268,OFFALY
Mean Annual Earnings,2016,Female,Roscommon,15 - 24 years,Euro,16213,ROSCOMMON
Mean Annual Earnings,2016,Female,Roscommon,15 years and over,Euro,32855,ROSCOMMON
Mean Annual Earnings,2016,Female,Roscommon,25 - 29 years,Euro,28519,ROSCOMMON
Mean Annual Earnings,2016,Female,Roscommon,30 - 39 years,Euro,35028,ROSCOMMON
Mean Annual Earnings,2016,Female,Roscommon,40 - 49 years,Euro,35992,ROSCOMMON
Mean Annual Earnings,2016,Female,Roscommon,50 - 59 years,Euro,34697,ROSCOMMON
Mean Annual Earnings,2016,Female,Roscommon,60 years and over,Euro,25359,ROSCOMMON
Mean Annual Earnings,2016,Female,Sligo,15 - 24 years,Euro,16153,SLIGO
Mean Annual Earnings,2016,Female,Sligo,15 years and over,Euro,33753,SLIGO
Mean Annual Earnings,2016,Female,Sligo,25 - 29 years,Euro,25870,SLIGO
Mean Annual Earnings,2016,Female,Sligo,30 - 39 years,Euro,34321,SLIGO
Mean Annual Earnings,2016,Female,Sligo,40 - 49 years,Euro,38261,SLIGO
Mean Annual Earnings,2016,Female,Sligo,50 - 59 years,Euro,36628,SLIGO
Mean Annual Earnings,2016,Female,Sligo,60 years and over,Euro,27655,SLIGO
Mean Annual Earnings,2016,Female,Tipperary,15 - 24 years,Euro,16128,TIPPERARY
Mean Annual Earnings,2016,Female,Tipperary,15 years and over,Euro,31838,TIPPERARY
Mean Annual Earnings,2016,Female,Tipperary,25 - 29 years,Euro,26803,TIPPERARY
Mean Annual Earnings,2016,Female,Tipperary,30 - 39 years,Euro,34250,TIPPERARY
Mean Annual Earnings,2016,Female,Tipperary,40 - 49 years,Euro,35546,TIPPERARY
Mean Annual Earnings,2016,Female,Tipperary,50 - 59 years,Euro,33085,TIPPERARY
Mean Annual Earnings,2016,Female,Tipperary,60 years and over,Euro,24205,TIPPERARY
Mean Annual Earnings,2016,Female,Waterford,15 - 24 years,Euro,16071,WATERFORD
Mean Annual Earnings,2016,Female,Waterford,15 years and over,Euro,31757,WATERFORD
Mean Annual Earnings,2016,Female,Waterford,25 - 29 years,Euro,26356,WATERFORD
Mean Annual Earnings,2016,Female,Waterford,30 - 39 years,Euro,33343,WATERFORD
Mean Annual Earnings,2016,Female,Waterford,40 - 49 years,Euro,35991,WATERFORD
Mean Annual Earnings,2016,Female,Waterford,50 - 59 years,Euro,33114,WATERFORD
Mean Annual Earnings,2016,Female,Waterford,60 years and over,Euro,24696,WATERFORD
Mean Annual Earnings,2016,Female,Wicklow,15 - 24 years,Euro,16350,WICKLOW
Mean Annual Earnings,2016,Female,Wicklow,15 years and over,Euro,35587,WICKLOW
Mean Annual Earnings,2016,Female,Wicklow,25 - 29 years,Euro,27480,WICKLOW
Mean Annual Earnings,2016,Female,Wicklow,30 - 39 years,Euro,37530,WICKLOW
Mean Annual Earnings,2016,Female,Wicklow,40 - 49 years,Euro,40944,WICKLOW
Mean Annual Earnings,2016,Female,Wicklow,50 - 59 years,Euro,36835,WICKLOW
Mean Annual Earnings,2016,Female,Wicklow,60 years and over,Euro,28633,WICKLOW
Mean Annual Earnings,2016,Female,Westmeath,15 - 24 years,Euro,17011,WESTMEATH
Mean Annual Earnings,2016,Female,Westmeath,15 years and over,Euro,33231,WESTMEATH
Mean Annual Earnings,2016,Female,Westmeath,25 - 29 years,Euro,27477,WESTMEATH
Mean Annual Earnings,2016,Female,Westmeath,30 - 39 years,Euro,34915,WESTMEATH
Mean Annual Earnings,2016,Female,Westmeath,40 - 49 years,Euro,36930,WESTMEATH
Mean Annual Earnings,2016,Female,Westmeath,50 - 59 years,Euro,35607,WESTMEATH
Mean Annual Earnings,2016,Female,Westmeath,60 years and over,Euro,26348,WESTMEATH
Mean Annual Earnings,2016,Female,Wexford,15 - 24 years,Euro,16140,WEXFORD
Mean Annual Earnings,2016,Female,Wexford,15 years and over,Euro,30322,WEXFORD
Mean Annual Earnings,2016,Female,Wexford,25 - 29 years,Euro,26023,WEXFORD
Mean Annual Earnings,2016,Female,Wexford,30 - 39 years,Euro,31903,WEXFORD
Mean Annual Earnings,2016,Female,Wexford,40 - 49 years,Euro,33556,WEXFORD
Mean Annual Earnings,2016,Female,Wexford,50 - 59 years,Euro,31856,WEXFORD
Mean Annual Earnings,2016,Female,Wexford,60 years and over,Euro,23719,WEXFORD
Mean Annual Earnings,2016,Female,Ireland,15 - 24 years,Euro,17332,IRELAND
Mean Annual Earnings,2016,Female,Ireland,15 years and over,Euro,35329,IRELAND
Mean Annual Earnings,2016,Female,Ireland,25 - 29 years,Euro,29592,IRELAND
Mean Annual Earnings,2016,Female,Ireland,30 - 39 years,Euro,37539,IRELAND
Mean Annual Earnings,2016,Female,Ireland,40 - 49 years,Euro,40123,IRELAND
Mean Annual Earnings,2016,Female,Ireland,50 - 59 years,Euro,36676,IRELAND
Mean Annual Earnings,2016,Female,Ireland,60 years and over,Euro,27240,IRELAND
Mean Annual Earnings,2017,Both sexes,Clare,15 - 24 years,Euro,19339,CLARE
Mean Annual Earnings,2017,Both sexes,Clare,15 years and over,Euro,40688,CLARE
Mean Annual Earnings,2017,Both sexes,Clare,25 - 29 years,Euro,30032,CLARE
Mean Annual Earnings,2017,Both sexes,Clare,30 - 39 years,Euro,39006,CLARE
Mean Annual Earnings,2017,Both sexes,Clare,40 - 49 years,Euro,46127,CLARE
Mean Annual Earnings,2017,Both sexes,Clare,50 - 59 years,Euro,46345,CLARE
Mean Annual Earnings,2017,Both sexes,Clare,60 years and over,Euro,34492,CLARE
Mean Annual Earnings,2017,Both sexes,Cork,15 - 24 years,Euro,18411,CORK
Mean Annual Earnings,2017,Both sexes,Cork,15 years and over,Euro,42061,CORK
Mean Annual Earnings,2017,Both sexes,Cork,25 - 29 years,Euro,32107,CORK
Mean Annual Earnings,2017,Both sexes,Cork,30 - 39 years,Euro,41317,CORK
Mean Annual Earnings,2017,Both sexes,Cork,40 - 49 years,Euro,49700,CORK
Mean Annual Earnings,2017,Both sexes,Cork,50 - 59 years,Euro,46686,CORK
Mean Annual Earnings,2017,Both sexes,Cork,60 years and over,Euro,35063,CORK
Mean Annual Earnings,2017,Both sexes,Cavan,15 - 24 years,Euro,20162,CAVAN
Mean Annual Earnings,2017,Both sexes,Cavan,15 years and over,Euro,35744,CAVAN
Mean Annual Earnings,2017,Both sexes,Cavan,25 - 29 years,Euro,30169,CAVAN
Mean Annual Earnings,2017,Both sexes,Cavan,30 - 39 years,Euro,36462,CAVAN
Mean Annual Earnings,2017,Both sexes,Cavan,40 - 49 years,Euro,39984,CAVAN
Mean Annual Earnings,2017,Both sexes,Cavan,50 - 59 years,Euro,38565,CAVAN
Mean Annual Earnings,2017,Both sexes,Cavan,60 years and over,Euro,30904,CAVAN
Mean Annual Earnings,2017,Both sexes,Carlow,15 - 24 years,Euro,18761,CARLOW
Mean Annual Earnings,2017,Both sexes,Carlow,15 years and over,Euro,36141,CARLOW
Mean Annual Earnings,2017,Both sexes,Carlow,25 - 29 years,Euro,29453,CARLOW
Mean Annual Earnings,2017,Both sexes,Carlow,30 - 39 years,Euro,36619,CARLOW
Mean Annual Earnings,2017,Both sexes,Carlow,40 - 49 years,Euro,40251,CARLOW
Mean Annual Earnings,2017,Both sexes,Carlow,50 - 59 years,Euro,40231,CARLOW
Mean Annual Earnings,2017,Both sexes,Carlow,60 years and over,Euro,31052,CARLOW
Mean Annual Earnings,2017,Both sexes,Donegal,15 - 24 years,Euro,17170,DONEGAL
Mean Annual Earnings,2017,Both sexes,Donegal,15 years and over,Euro,32152,DONEGAL
Mean Annual Earnings,2017,Both sexes,Donegal,25 - 29 years,Euro,25729,DONEGAL
Mean Annual Earnings,2017,Both sexes,Donegal,30 - 39 years,Euro,32564,DONEGAL
Mean Annual Earnings,2017,Both sexes,Donegal,40 - 49 years,Euro,36122,DONEGAL
Mean Annual Earnings,2017,Both sexes,Donegal,50 - 59 years,Euro,35532,DONEGAL
Mean Annual Earnings,2017,Both sexes,Donegal,60 years and over,Euro,27704,DONEGAL
Mean Annual Earnings,2017,Both sexes,Dublin,15 - 24 years,Euro,20212,DUBLIN
Mean Annual Earnings,2017,Both sexes,Dublin,15 years and over,Euro,48575,DUBLIN
Mean Annual Earnings,2017,Both sexes,Dublin,25 - 29 years,Euro,36021,DUBLIN
Mean Annual Earnings,2017,Both sexes,Dublin,30 - 39 years,Euro,48635,DUBLIN
Mean Annual Earnings,2017,Both sexes,Dublin,40 - 49 years,Euro,58131,DUBLIN
Mean Annual Earnings,2017,Both sexes,Dublin,50 - 59 years,Euro,54794,DUBLIN
Mean Annual Earnings,2017,Both sexes,Dublin,60 years and over,Euro,41767,DUBLIN
Mean Annual Earnings,2017,Both sexes,Galway,15 - 24 years,Euro,19362,GALWAY
Mean Annual Earnings,2017,Both sexes,Galway,15 years and over,Euro,39965,GALWAY
Mean Annual Earnings,2017,Both sexes,Galway,25 - 29 years,Euro,30948,GALWAY
Mean Annual Earnings,2017,Both sexes,Galway,30 - 39 years,Euro,39024,GALWAY
Mean Annual Earnings,2017,Both sexes,Galway,40 - 49 years,Euro,46486,GALWAY
Mean Annual Earnings,2017,Both sexes,Galway,50 - 59 years,Euro,44360,GALWAY
Mean Annual Earnings,2017,Both sexes,Galway,60 years and over,Euro,33133,GALWAY
Mean Annual Earnings,2017,Both sexes,Kildare,15 - 24 years,Euro,19121,KILDARE
Mean Annual Earnings,2017,Both sexes,Kildare,15 years and over,Euro,45372,KILDARE
Mean Annual Earnings,2017,Both sexes,Kildare,25 - 29 years,Euro,32127,KILDARE
Mean Annual Earnings,2017,Both sexes,Kildare,30 - 39 years,Euro,44319,KILDARE
Mean Annual Earnings,2017,Both sexes,Kildare,40 - 49 years,Euro,53670,KILDARE
Mean Annual Earnings,2017,Both sexes,Kildare,50 - 59 years,Euro,50865,KILDARE
Mean Annual Earnings,2017,Both sexes,Kildare,60 years and over,Euro,38173,KILDARE
Mean Annual Earnings,2017,Both sexes,Kilkenny,15 - 24 years,Euro,18129,KILKENNY
Mean Annual Earnings,2017,Both sexes,Kilkenny,15 years and over,Euro,38284,KILKENNY
Mean Annual Earnings,2017,Both sexes,Kilkenny,25 - 29 years,Euro,30708,KILKENNY
Mean Annual Earnings,2017,Both sexes,Kilkenny,30 - 39 years,Euro,38729,KILKENNY
Mean Annual Earnings,2017,Both sexes,Kilkenny,40 - 49 years,Euro,43454,KILKENNY
