Statistic Label,Year,Sex,County,Age Group,UNIT,VALUE,Upper_County
Mean Annual Earnings,2011,Both sexes,Kerry,60 years and over,Euro,28544,KERRY
Mean Annual Earnings,2011,Both sexes,Longford,15 - 24 years,Euro,18747,LONGFORD
Mean Annual Earnings,2011,Both sexes,Longford,15 years and over,Euro,33473,LONGFORD
Mean Annual Earnings,2011,Both sexes,Longford,25 - 29 years,Euro,29406,LONGFORD
Mean Annual Earnings,2011,Both sexes,Longford,30 - 39 years,Euro,35565,LONGFORD
Mean Annual Earnings,2011,Both sexes,Longford,40 - 49 years,Euro,37111,LONGFORD
Mean Annual Earnings,2011,Both sexes,Longford,50 - 59 years,Euro,36199,LONGFORD
Mean Annual Earnings,2011,Both sexes,Longford,60 years and over,Euro,27107,LONGFORD
Mean Annual Earnings,2011,Both sexes,Louth,15 - 24 years,Euro,16962,LOUTH
Mean Annual Earnings,2011,Both sexes,Louth,15 years and over,Euro,36209,LOUTH
Mean Annual Earnings,2011,Both sexes,Louth,25 - 29 years,Euro,28560,LOUTH
Mean Annual Earnings,2011,Both sexes,Louth,30 - 39 years,Euro,37500,LOUTH
Mean Annual Earnings,2011,Both sexes,Louth,40 - 49 years,Euro,41925,LOUTH
Mean Annual Earnings,2011,Both sexes,Louth,50 - 59 years,Euro,41032,LOUTH
Mean Annual Earnings,2011,Both sexes,Louth,60 years and over,Euro,29251,LOUTH
Mean Annual Earnings,2011,Both sexes,Limerick,15 - 24 years,Euro,17572,LIMERICK
Mean Annual Earnings,2011,Both sexes,Limerick,15 years and over,Euro,38156,LIMERICK
Mean Annual Earnings,2011,Both sexes,Limerick,25 - 29 years,Euro,29501,LIMERICK
Mean Annual Earnings,2011,Both sexes,Limerick,30 - 39 years,Euro,39153,LIMERICK
Mean Annual Earnings,2011,Both sexes,Limerick,40 - 49 years,Euro,44149,LIMERICK
Mean Annual Earnings,2011,Both sexes,Limerick,50 - 59 years,Euro,43207,LIMERICK
Mean Annual Earnings,2011,Both sexes,Limerick,60 years and over,Euro,32926,LIMERICK
Mean Annual Earnings,2011,Both sexes,Leitrim,15 - 24 years,Euro,17517,LEITRIM
Mean Annual Earnings,2011,Both sexes,Leitrim,15 years and over,Euro,34461,LEITRIM
Mean Annual Earnings,2011,Both sexes,Leitrim,25 - 29 years,Euro,30865,LEITRIM
Mean Annual Earnings,2011,Both sexes,Leitrim,30 - 39 years,Euro,38325,LEITRIM
Mean Annual Earnings,2011,Both sexes,Leitrim,40 - 49 years,Euro,37928,LEITRIM
Mean Annual Earnings,2011,Both sexes,Leitrim,50 - 59 years,Euro,34321,LEITRIM
Mean Annual Earnings,2011,Both sexes,Leitrim,60 years and over,Euro,25194,LEITRIM
Mean Annual Earnings,2011,Both sexes,Laois,15 - 24 years,Euro,18430,LAOIS
Mean Annual Earnings,2011,Both sexes,Laois,15 years and over,Euro,37253,LAOIS
Mean Annual Earnings,2011,Both sexes,Laois,25 - 29 years,Euro,31200,LAOIS
Mean Annual Earnings,2011,Both sexes,Laois,30 - 39 years,Euro,39216,LAOIS
Mean Annual Earnings,2011,Both sexes,Laois,40 - 49 years,Euro,41712,LAOIS
Mean Annual Earnings,2011,Both sexes,Laois,50 - 59 years,Euro,40217,LAOIS
Mean Annual Earnings,2011,Both sexes,Laois,60 years and over,Euro,29077,LAOIS
Mean Annual Earnings,2011,Both sexes,Meath,15 - 24 years,Euro,18163,MEATH
Mean Annual Earnings,2011,Both sexes,Meath,15 years and over,Euro,41083,MEATH
Mean Annual Earnings,2011,Both sexes,Meath,25 - 29 years,Euro,31323,MEATH
Mean Annual Earnings,2011,Both sexes,Meath,30 - 39 years,Euro,41995,MEATH
Mean Annual Earnings,2011,Both sexes,Meath,40 - 49 years,Euro,47812,MEATH
Mean Annual Earnings,2011,Both sexes,Meath,50 - 59 years,Euro,46450,MEATH
Mean Annual Earnings,2011,Both sexes,Meath,60 years and over,Euro,33911,MEATH
Mean Annual Earnings,2011,Both sexes,Monaghan,15 - 24 years,Euro,17024,MONAGHAN
Mean Annual Earnings,2011,Both sexes,Monaghan,15 years and over,Euro,32502,MONAGHAN
Mean Annual Earnings,2011,Both sexes,Monaghan,25 - 29 years,Euro,28016,MONAGHAN
Mean Annual Earnings,2011,Both sexes,Monaghan,30 - 39 years,Euro,34123,MONAGHAN
Mean Annual Earnings,2011,Both sexes,Monaghan,40 - 49 years,Euro,35515,MONAGHAN
Mean Annual Earnings,2011,Both sexes,Monaghan,50 - 59 years,Euro,35761,MONAGHAN
Mean Annual Earnings,2011,Both sexes,Monaghan,60 years and over,Euro,28873,MONAGHAN
Mean Annual Earnings,2011,Both sexes,Mayo,15 - 24 years,Euro,16811,MAYO
Mean Annual Earnings,2011,Both sexes,Mayo,15 years and over,Euro,34117,MAYO
Mean Annual Earnings,2011,Both sexes,Mayo,25 - 29 years,Euro,29622,MAYO
Mean Annual Earnings,2011,Both sexes,Mayo,30 - 39 years,Euro,36938,MAYO
Mean Annual Earnings,2011,Both sexes,Mayo,40 - 49 years,Euro,38154,MAYO
Mean Annual Earnings,2011,Both sexes,Mayo,50 - 59 years,Euro,35821,MAYO
Mean Annual Earnings,2011,Both sexes,Mayo,60 years and over,Euro,26436,MAYO
Mean Annual Earnings,2011,Both sexes,Offaly,15 - 24 years,Euro,16904,OFFALY
Mean Annual Earnings,2011,Both sexes,Offaly,15 years and over,Euro,35380,OFFALY
Mean Annual Earnings,2011,Both sexes,Offaly,25 - 29 years,Euro,29563,OFFALY
Mean Annual Earnings,2011,Both sexes,Offaly,30 - 39 years,Euro,37144,OFFALY
Mean Annual Earnings,2011,Both sexes,Offaly,40 - 49 years,Euro,39044,OFFALY
Mean Annual Earnings,2011,Both sexes,Offaly,50 - 59 years,Euro,39154,OFFALY
Mean Annual Earnings,2011,Both sexes,Offaly,60 years and over,Euro,29945,OFFALY
Mean Annual Earnings,2011,Both sexes,Roscommon,15 - 24 years,Euro,18462,ROSCOMMON
Mean Annual Earnings,2011,Both sexes,Roscommon,15 years and over,Euro,35515,ROSCOMMON
Mean Annual Earnings,2011,Both sexes,Roscommon,25 - 29 years,Euro,30982,ROSCOMMON
Mean Annual Earnings,2011,Both sexes,Roscommon,30 - 39 years,Euro,37892,ROSCOMMON
