Statistic Label,Year,Sex,County,Age Group,UNIT,VALUE,Upper_County,Mean_Median_Diff,Mean_Median_Diff_Perc
Mean Annual Earnings,2012,Both sexes,Ireland,50 - 59 years,Euro,44213,IRELAND,7882.0,21.694971236684925
Mean Annual Earnings,2012,Both sexes,Ireland,60 years and over,Euro,32390,IRELAND,7179.0,28.475665384157708
Mean Annual Earnings,2012,Male,Clare,15 - 24 years,Euro,17790,CLARE,1200.0,7.233273056057866
Mean Annual Earnings,2012,Male,Clare,15 years and over,Euro,44903,CLARE,7637.0,20.49321096978479
Mean Annual Earnings,2012,Male,Clare,25 - 29 years,Euro,29434,CLARE,2031.0,7.411597270371857
Mean Annual Earnings,2012,Male,Clare,30 - 39 years,Euro,41607,CLARE,4507.0,12.148247978436657
Mean Annual Earnings,2012,Male,Clare,40 - 49 years,Euro,53688,CLARE,9038.0,20.241881298992162
Mean Annual Earnings,2012,Male,Clare,50 - 59 years,Euro,54257,CLARE,9906.0,22.335460305291875
Mean Annual Earnings,2012,Male,Clare,60 years and over,Euro,36665,CLARE,7596.0,26.130929856548214
Mean Annual Earnings,2012,Male,Cork,15 - 24 years,Euro,18147,CORK,1495.0,8.977900552486188
Mean Annual Earnings,2012,Male,Cork,15 years and over,Euro,45908,CORK,7695.0,20.137126108915815
Mean Annual Earnings,2012,Male,Cork,25 - 29 years,Euro,30567,CORK,1885.0,6.572066104176836
Mean Annual Earnings,2012,Male,Cork,30 - 39 years,Euro,43816,CORK,4904.0,12.602796052631579
Mean Annual Earnings,2012,Male,Cork,40 - 49 years,Euro,56022,CORK,9447.0,20.28341384863124
Mean Annual Earnings,2012,Male,Cork,50 - 59 years,Euro,54580,CORK,9326.0,20.608123038847395
Mean Annual Earnings,2012,Male,Cork,60 years and over,Euro,39661,CORK,7966.0,25.133301782615554
Mean Annual Earnings,2012,Male,Cavan,15 - 24 years,Euro,18981,CAVAN,719.0,3.9371372248384624
Mean Annual Earnings,2012,Male,Cavan,15 years and over,Euro,37953,CAVAN,5486.0,16.89715711337666
Mean Annual Earnings,2012,Male,Cavan,25 - 29 years,Euro,29620,CAVAN,2641.0,9.789095222209866
Mean Annual Earnings,2012,Male,Cavan,30 - 39 years,Euro,37553,CAVAN,4346.0,13.087602011624055
Mean Annual Earnings,2012,Male,Cavan,40 - 49 years,Euro,43259,CAVAN,6996.0,19.292391694013183
Mean Annual Earnings,2012,Male,Cavan,50 - 59 years,Euro,44524,CAVAN,6261.0,16.363066147453154
Mean Annual Earnings,2012,Male,Cavan,60 years and over,Euro,32807,CAVAN,4321.0,15.168854876079477
Mean Annual Earnings,2012,Male,Carlow,15 - 24 years,Euro,18268,CARLOW,1243.0,7.301027900146843
Mean Annual Earnings,2012,Male,Carlow,15 years and over,Euro,37789,CARLOW,5394.0,16.650717703349283
Mean Annual Earnings,2012,Male,Carlow,25 - 29 years,Euro,29866,CARLOW,2129.0,7.675667880448499
Mean Annual Earnings,2012,Male,Carlow,30 - 39 years,Euro,37643,CARLOW,4787.0,14.56963720477234
Mean Annual Earnings,2012,Male,Carlow,40 - 49 years,Euro,44444,CARLOW,7181.0,19.271126855057297
Mean Annual Earnings,2012,Male,Carlow,50 - 59 years,Euro,42738,CARLOW,6068.0,16.547586583037905
Mean Annual Earnings,2012,Male,Carlow,60 years and over,Euro,32152,CARLOW,4892.0,17.9457079970653
Mean Annual Earnings,2012,Male,Donegal,15 - 24 years,Euro,15391,DONEGAL,351.0,2.333776595744681
Mean Annual Earnings,2012,Male,Donegal,15 years and over,Euro,34174,DONEGAL,5504.0,19.197767701430067
Mean Annual Earnings,2012,Male,Donegal,25 - 29 years,Euro,26625,DONEGAL,2893.0,12.190291589415136
Mean Annual Earnings,2012,Male,Donegal,30 - 39 years,Euro,34208,DONEGAL,4349.0,14.565122743561405
Mean Annual Earnings,2012,Male,Donegal,40 - 49 years,Euro,39439,DONEGAL,5745.0,17.050513444530182
Mean Annual Earnings,2012,Male,Donegal,50 - 59 years,Euro,39847,DONEGAL,4498.0,12.724546663271946
Mean Annual Earnings,2012,Male,Donegal,60 years and over,Euro,28370,DONEGAL,5969.0,26.646131869112985
Mean Annual Earnings,2012,Male,Dublin,15 - 24 years,Euro,18715,DUBLIN,1065.0,6.0339943342776206
Mean Annual Earnings,2012,Male,Dublin,15 years and over,Euro,51003,DUBLIN,11340.0,28.59087814840027
Mean Annual Earnings,2012,Male,Dublin,25 - 29 years,Euro,32110,DUBLIN,3213.0,11.11880125964633
Mean Annual Earnings,2012,Male,Dublin,30 - 39 years,Euro,47565,DUBLIN,7838.0,19.729654894656026
Mean Annual Earnings,2012,Male,Dublin,40 - 49 years,Euro,64752,DUBLIN,15178.0,30.616855609795458
Mean Annual Earnings,2012,Male,Dublin,50 - 59 years,Euro,64005,DUBLIN,13824.0,27.548275243618104
Mean Annual Earnings,2012,Male,Dublin,60 years and over,Euro,48678,DUBLIN,11536.0,31.05917828872974
Mean Annual Earnings,2012,Male,Galway,15 - 24 years,Euro,17656,GALWAY,920.0,5.497131931166348
Mean Annual Earnings,2012,Male,Galway,15 years and over,Euro,41737,GALWAY,7521.0,21.980944587327567
Mean Annual Earnings,2012,Male,Galway,25 - 29 years,Euro,29271,GALWAY,2556.0,9.567658618753509
Mean Annual Earnings,2012,Male,Galway,30 - 39 years,Euro,39943,GALWAY,4876.0,13.90481079077195
Mean Annual Earnings,2012,Male,Galway,40 - 49 years,Euro,51083,GALWAY,10076.0,24.57141463652547
Mean Annual Earnings,2012,Male,Galway,50 - 59 years,Euro,49558,GALWAY,8989.0,22.157312233478766
Mean Annual Earnings,2012,Male,Galway,60 years and over,Euro,35345,GALWAY,5963.0,20.294738275134435
Mean Annual Earnings,2012,Male,Kildare,15 - 24 years,Euro,19321,KILDARE,1264.0,7.000055380184969
Mean Annual Earnings,2012,Male,Kildare,15 years and over,Euro,48663,KILDARE,8663.0,21.6575
Mean Annual Earnings,2012,Male,Kildare,25 - 29 years,Euro,31961,KILDARE,2554.0,8.685006971129322
Mean Annual Earnings,2012,Male,Kildare,30 - 39 years,Euro,45879,KILDARE,5724.0,14.254762794172581
Mean Annual Earnings,2012,Male,Kildare,40 - 49 years,Euro,59859,KILDARE,9850.0,19.69645463816513
Mean Annual Earnings,2012,Male,Kildare,50 - 59 years,Euro,57369,KILDARE,9729.0,20.42191435768262
Mean Annual Earnings,2012,Male,Kildare,60 years and over,Euro,43855,KILDARE,8618.0,24.457246644152452
Mean Annual Earnings,2012,Male,Kilkenny,15 - 24 years,Euro,18385,KILKENNY,1543.0,9.1616197601235
Mean Annual Earnings,2012,Male,Kilkenny,15 years and over,Euro,42031,KILKENNY,6382.0,17.90232545092429
Mean Annual Earnings,2012,Male,Kilkenny,25 - 29 years,Euro,29795,KILKENNY,2446.0,8.943654246956013
Mean Annual Earnings,2012,Male,Kilkenny,30 - 39 years,Euro,40759,KILKENNY,4193.0,11.46693649838648
Mean Annual Earnings,2012,Male,Kilkenny,40 - 49 years,Euro,49409,KILKENNY,8399.0,20.480370641306997
Mean Annual Earnings,2012,Male,Kilkenny,50 - 59 years,Euro,49639,KILKENNY,8737.0,21.36081365214415
Mean Annual Earnings,2012,Male,Kilkenny,60 years and over,Euro,35007,KILKENNY,6371.0,22.248219025003493
Mean Annual Earnings,2012,Male,Kerry,15 - 24 years,Euro,18405,KERRY,1455.0,8.584070796460177
Mean Annual Earnings,2012,Male,Kerry,15 years and over,Euro,39071,KERRY,6407.0,19.614866519715896
Mean Annual Earnings,2012,Male,Kerry,25 - 29 years,Euro,29263,KERRY,2813.0,10.635160680529301
Mean Annual Earnings,2012,Male,Kerry,30 - 39 years,Euro,37647,KERRY,4820.0,14.683035306302738
Mean Annual Earnings,2012,Male,Kerry,40 - 49 years,Euro,45559,KERRY,8034.0,21.409726848767487
Mean Annual Earnings,2012,Male,Kerry,50 - 59 years,Euro,44956,KERRY,6666.0,17.409245233742492
Mean Annual Earnings,2012,Male,Kerry,60 years and over,Euro,34549,KERRY,6710.0,24.102877258522216
Mean Annual Earnings,2012,Male,Longford,15 - 24 years,Euro,19054,LONGFORD,792.0,4.336874383966707
Mean Annual Earnings,2012,Male,Longford,15 years and over,Euro,36571,LONGFORD,5236.0,16.70974948141056
Mean Annual Earnings,2012,Male,Longford,25 - 29 years,Euro,29065,LONGFORD,2740.0,10.408357075023742
Mean Annual Earnings,2012,Male,Longford,30 - 39 years,Euro,36902,LONGFORD,4511.0,13.926708036182891
Mean Annual Earnings,2012,Male,Longford,40 - 49 years,Euro,42091,LONGFORD,6547.0,18.41942381273914
Mean Annual Earnings,2012,Male,Longford,50 - 59 years,Euro,41692,LONGFORD,4682.0,12.650634963523371
Mean Annual Earnings,2012,Male,Longford,60 years and over,Euro,31317,LONGFORD,4487.0,16.723816623183005
Mean Annual Earnings,2012,Male,Louth,15 - 24 years,Euro,17897,LOUTH,1025.0,6.075154101469891
Mean Annual Earnings,2012,Male,Louth,15 years and over,Euro,40854,LOUTH,6237.0,18.01715919923737
Mean Annual Earnings,2012,Male,Louth,25 - 29 years,Euro,28904,LOUTH,2539.0,9.630191541816803
Mean Annual Earnings,2012,Male,Louth,30 - 39 years,Euro,39716,LOUTH,4716.0,13.474285714285715
Mean Annual Earnings,2012,Male,Louth,40 - 49 years,Euro,49193,LOUTH,7710.0,18.58592676518092
Mean Annual Earnings,2012,Male,Louth,50 - 59 years,Euro,48527,LOUTH,7615.0,18.613120844739928
Mean Annual Earnings,2012,Male,Louth,60 years and over,Euro,32832,LOUTH,5718.0,21.088736446116396
Mean Annual Earnings,2012,Male,Limerick,15 - 24 years,Euro,18016,LIMERICK,1609.0,9.80678978484793
Mean Annual Earnings,2012,Male,Limerick,15 years and over,Euro,44628,LIMERICK,8131.0,22.278543441926733
Mean Annual Earnings,2012,Male,Limerick,25 - 29 years,Euro,30166,LIMERICK,3254.0,12.091260404280618
Mean Annual Earnings,2012,Male,Limerick,30 - 39 years,Euro,42399,LIMERICK,5433.0,14.697289401071254
Mean Annual Earnings,2012,Male,Limerick,40 - 49 years,Euro,53493,LIMERICK,9349.0,21.17841609278724
Mean Annual Earnings,2012,Male,Limerick,50 - 59 years,Euro,53892,LIMERICK,9860.0,22.39280523255814
Mean Annual Earnings,2012,Male,Limerick,60 years and over,Euro,40374,LIMERICK,9504.0,30.78717201166181
Mean Annual Earnings,2012,Male,Leitrim,15 - 24 years,Euro,16590,LEITRIM,776.0,4.9070443910459085
Mean Annual Earnings,2012,Male,Leitrim,15 years and over,Euro,37094,LEITRIM,4492.0,13.778295810073002
Mean Annual Earnings,2012,Male,Leitrim,25 - 29 years,Euro,30277,LEITRIM,2867.0,10.459686245895659
Mean Annual Earnings,2012,Male,Leitrim,30 - 39 years,Euro,39711,LEITRIM,4100.0,11.513296453343068
Mean Annual Earnings,2012,Male,Leitrim,40 - 49 years,Euro,42279,LEITRIM,5696.0,15.570073531421698
Mean Annual Earnings,2012,Male,Leitrim,50 - 59 years,Euro,37149,LEITRIM,4356.0,13.283322660323849
Mean Annual Earnings,2012,Male,Leitrim,60 years and over,Euro,28589,LEITRIM,2859.0,11.111542945977458
Mean Annual Earnings,2012,Male,Laois,15 - 24 years,Euro,18361,LAOIS,1395.0,8.222327006955087
Mean Annual Earnings,2012,Male,Laois,15 years and over,Euro,41708,LAOIS,4818.0,13.06044998644619
Mean Annual Earnings,2012,Male,Laois,25 - 29 years,Euro,30693,LAOIS,1288.0,4.380207447712974
Mean Annual Earnings,2012,Male,Laois,30 - 39 years,Euro,41725,LAOIS,3274.0,8.514733036852098
Mean Annual Earnings,2012,Male,Laois,40 - 49 years,Euro,48746,LAOIS,6805.0,16.225173457952838
Mean Annual Earnings,2012,Male,Laois,50 - 59 years,Euro,46806,LAOIS,5759.0,14.030257996930349
Mean Annual Earnings,2012,Male,Laois,60 years and over,Euro,34306,LAOIS,2304.0,7.199550028123243
Mean Annual Earnings,2012,Male,Meath,15 - 24 years,Euro,18904,MEATH,1049.0,5.875105012601512
Mean Annual Earnings,2012,Male,Meath,15 years and over,Euro,47996,MEATH,8234.0,20.708213872541624
Mean Annual Earnings,2012,Male,Meath,25 - 29 years,Euro,31353,MEATH,2673.0,9.320083682008368
Mean Annual Earnings,2012,Male,Meath,30 - 39 years,Euro,45780,MEATH,5764.0,14.40423830467813
Mean Annual Earnings,2012,Male,Meath,40 - 49 years,Euro,57449,MEATH,9363.0,19.47136380651333
Mean Annual Earnings,2012,Male,Meath,50 - 59 years,Euro,56716,MEATH,9208.0,19.38199882125116
Mean Annual Earnings,2012,Male,Meath,60 years and over,Euro,43111,MEATH,9313.0,27.554884904432214
Mean Annual Earnings,2012,Male,Monaghan,15 - 24 years,Euro,19437,MONAGHAN,830.0,4.460686838286667
Mean Annual Earnings,2012,Male,Monaghan,15 years and over,Euro,34929,MONAGHAN,5501.0,18.693081419056682
Mean Annual Earnings,2012,Male,Monaghan,25 - 29 years,Euro,27685,MONAGHAN,1726.0,6.648946415501367
Mean Annual Earnings,2012,Male,Monaghan,30 - 39 years,Euro,35597,MONAGHAN,4852.0,15.781427874451131
Mean Annual Earnings,2012,Male,Monaghan,40 - 49 years,Euro,38406,MONAGHAN,6050.0,18.69823216714056
Mean Annual Earnings,2012,Male,Monaghan,50 - 59 years,Euro,40165,MONAGHAN,6210.0,18.288911795022823
Mean Annual Earnings,2012,Male,Monaghan,60 years and over,Euro,32451,MONAGHAN,7545.0,30.293905083112502
Mean Annual Earnings,2012,Male,Mayo,15 - 24 years,Euro,17394,MAYO,1216.0,7.516380269501792
Mean Annual Earnings,2012,Male,Mayo,15 years and over,Euro,37667,MAYO,5249.0,16.191621938429268
Mean Annual Earnings,2012,Male,Mayo,25 - 29 years,Euro,29966,MAYO,2466.0,8.967272727272727
Mean Annual Earnings,2012,Male,Mayo,30 - 39 years,Euro,38729,MAYO,4251.0,12.32960148500493
Mean Annual Earnings,2012,Male,Mayo,40 - 49 years,Euro,44119,MAYO,6739.0,18.028357410379883
Mean Annual Earnings,2012,Male,Mayo,50 - 59 years,Euro,41164,MAYO,5165.0,14.347620767243535
Mean Annual Earnings,2012,Male,Mayo,60 years and over,Euro,29418,MAYO,3305.0,12.656531229655727
Mean Annual Earnings,2012,Male,Offaly,15 - 24 years,Euro,18069,OFFALY,0.0,0.0
Mean Annual Earnings,2012,Male,Offaly,15 years and over,Euro,39447,OFFALY,5194.0,15.163635302017342
Mean Annual Earnings,2012,Male,Offaly,25 - 29 years,Euro,29934,OFFALY,1959.0,7.002680965147453
Mean Annual Earnings,2012,Male,Offaly,30 - 39 years,Euro,38924,OFFALY,3924.0,11.211428571428572
Mean Annual Earnings,2012,Male,Offaly,40 - 49 years,Euro,45774,OFFALY,7277.0,18.90277164454373
Mean Annual Earnings,2012,Male,Offaly,50 - 59 years,Euro,44938,OFFALY,6272.0,16.220969327057364
Mean Annual Earnings,2012,Male,Offaly,60 years and over,Euro,33929,OFFALY,2191.0,6.903396559329511
Mean Annual Earnings,2012,Male,Roscommon,15 - 24 years,Euro,18019,ROSCOMMON,424.0,2.4097755044046605
Mean Annual Earnings,2012,Male,Roscommon,15 years and over,Euro,38906,ROSCOMMON,4599.0,13.405427463782901
Mean Annual Earnings,2012,Male,Roscommon,25 - 29 years,Euro,29857,ROSCOMMON,2783.0,10.279234690108591
Mean Annual Earnings,2012,Male,Roscommon,30 - 39 years,Euro,40080,ROSCOMMON,2942.0,7.921805159136195
Mean Annual Earnings,2012,Male,Roscommon,40 - 49 years,Euro,44344,ROSCOMMON,6224.0,16.32738719832109
Mean Annual Earnings,2012,Male,Roscommon,50 - 59 years,Euro,42478,ROSCOMMON,4834.0,12.841355860163638
Mean Annual Earnings,2012,Male,Roscommon,60 years and over,Euro,31541,ROSCOMMON,4008.0,14.557076962190825
Mean Annual Earnings,2012,Male,Sligo,15 - 24 years,Euro,17162,SLIGO,1757.0,11.405387861084064
Mean Annual Earnings,2012,Male,Sligo,15 years and over,Euro,39738,SLIGO,6019.0,17.85047006138972
Mean Annual Earnings,2012,Male,Sligo,25 - 29 years,Euro,29171,SLIGO,3117.0,11.963614032394258
Mean Annual Earnings,2012,Male,Sligo,30 - 39 years,Euro,38003,SLIGO,4285.0,12.708345690728988
Mean Annual Earnings,2012,Male,Sligo,40 - 49 years,Euro,46395,SLIGO,7140.0,18.18876576232327
Mean Annual Earnings,2012,Male,Sligo,50 - 59 years,Euro,47187,SLIGO,7878.0,20.04121193619782
Mean Annual Earnings,2012,Male,Sligo,60 years and over,Euro,34509,SLIGO,4437.0,14.754588986432562
Mean Annual Earnings,2012,Male,Tipperary,15 - 24 years,Euro,18543,TIPPERARY,1285.0,7.445822227372813
Mean Annual Earnings,2012,Male,Tipperary,15 years and over,Euro,40596,TIPPERARY,6170.0,17.92250043571719
Mean Annual Earnings,2012,Male,Tipperary,25 - 29 years,Euro,30371,TIPPERARY,2740.0,9.916398248344251
Mean Annual Earnings,2012,Male,Tipperary,30 - 39 years,Euro,39825,TIPPERARY,4726.0,13.464771076099034
Mean Annual Earnings,2012,Male,Tipperary,40 - 49 years,Euro,47194,TIPPERARY,7685.0,19.451264268900758
Mean Annual Earnings,2012,Male,Tipperary,50 - 59 years,Euro,46605,TIPPERARY,7853.0,20.264760528488853
Mean Annual Earnings,2012,Male,Tipperary,60 years and over,Euro,35147,TIPPERARY,5854.0,19.984296589628922
Mean Annual Earnings,2012,Male,Waterford,15 - 24 years,Euro,17435,WATERFORD,744.0,4.457492061590078
Mean Annual Earnings,2012,Male,Waterford,15 years and over,Euro,42396,WATERFORD,5751.0,15.6938190749079
Mean Annual Earnings,2012,Male,Waterford,25 - 29 years,Euro,28852,WATERFORD,1762.0,6.504245108896272
Mean Annual Earnings,2012,Male,Waterford,30 - 39 years,Euro,41031,WATERFORD,3147.0,8.30693696547355
Mean Annual Earnings,2012,Male,Waterford,40 - 49 years,Euro,50842,WATERFORD,7273.0,16.693061580481537
Mean Annual Earnings,2012,Male,Waterford,50 - 59 years,Euro,48636,WATERFORD,7834.0,19.200039213764033
Mean Annual Earnings,2012,Male,Waterford,60 years and over,Euro,35879,WATERFORD,6389.0,21.664971176670058
Mean Annual Earnings,2012,Male,Wicklow,15 - 24 years,Euro,17042,WICKLOW,716.0,4.385642533382335
Mean Annual Earnings,2012,Male,Wicklow,15 years and over,Euro,48947,WICKLOW,9947.0,25.505128205128205
Mean Annual Earnings,2012,Male,Wicklow,25 - 29 years,Euro,30169,WICKLOW,2543.0,9.205096648085137
Mean Annual Earnings,2012,Male,Wicklow,30 - 39 years,Euro,45679,WICKLOW,6475.0,16.51617181920212
Mean Annual Earnings,2012,Male,Wicklow,40 - 49 years,Euro,60979,WICKLOW,11821.0,24.046950648927947
Mean Annual Earnings,2012,Male,Wicklow,50 - 59 years,Euro,59365,WICKLOW,11831.0,24.889552741195775
Mean Annual Earnings,2012,Male,Wicklow,60 years and over,Euro,42552,WICKLOW,10029.0,30.83663868646804
Mean Annual Earnings,2012,Male,Westmeath,15 - 24 years,Euro,19180,WESTMEATH,854.0,4.660045836516424
Mean Annual Earnings,2012,Male,Westmeath,15 years and over,Euro,41091,WESTMEATH,5445.0,15.275206194243394
Mean Annual Earnings,2012,Male,Westmeath,25 - 29 years,Euro,29694,WESTMEATH,2194.0,7.9781818181818185
Mean Annual Earnings,2012,Male,Westmeath,30 - 39 years,Euro,40448,WESTMEATH,3956.0,10.840732215280061
Mean Annual Earnings,2012,Male,Westmeath,40 - 49 years,Euro,48650,WESTMEATH,6556.0,15.57466622321471
Mean Annual Earnings,2012,Male,Westmeath,50 - 59 years,Euro,47055,WESTMEATH,7502.0,18.966955730285946
Mean Annual Earnings,2012,Male,Westmeath,60 years and over,Euro,37250,WESTMEATH,5954.0,19.024795501022496
Mean Annual Earnings,2012,Male,Wexford,15 - 24 years,Euro,18544,WEXFORD,491.0,2.719769567384922
Mean Annual Earnings,2012,Male,Wexford,15 years and over,Euro,38249,WEXFORD,5842.0,18.026969481902057
Mean Annual Earnings,2012,Male,Wexford,25 - 29 years,Euro,28879,WEXFORD,2533.0,9.614362711607075
Mean Annual Earnings,2012,Male,Wexford,30 - 39 years,Euro,38044,WEXFORD,4760.0,14.301165725273405
Mean Annual Earnings,2012,Male,Wexford,40 - 49 years,Euro,44310,WEXFORD,6821.0,18.194670436661422
Mean Annual Earnings,2012,Male,Wexford,50 - 59 years,Euro,43098,WEXFORD,6064.0,16.374142679699734
Mean Annual Earnings,2012,Male,Wexford,60 years and over,Euro,32951,WEXFORD,6379.0,24.00647297907572
Mean Annual Earnings,2012,Male,Ireland,15 - 24 years,Euro,18314,IRELAND,1045.0,6.051305808095431
Mean Annual Earnings,2012,Male,Ireland,15 years and over,Euro,45452,IRELAND,8592.0,23.30982094411286
Mean Annual Earnings,2012,Male,Ireland,25 - 29 years,Euro,30655,IRELAND,2763.0,9.90606625555715
Mean Annual Earnings,2012,Male,Ireland,30 - 39 years,Euro,43501,IRELAND,6041.0,16.126534970635344
Mean Annual Earnings,2012,Male,Ireland,40 - 49 years,Euro,55395,IRELAND,11003.0,24.785997477022885
Mean Annual Earnings,2012,Male,Ireland,50 - 59 years,Euro,54330,IRELAND,10650.0,24.38186813186813
Mean Annual Earnings,2012,Male,Ireland,60 years and over,Euro,40450,IRELAND,8545.0,26.78263595047798
Mean Annual Earnings,2012,Female,Clare,15 - 24 years,Euro,16891,CLARE,1233.0,7.8745689104611065
Mean Annual Earnings,2012,Female,Clare,15 years and over,Euro,32643,CLARE,4007.0,13.992876100013968
Mean Annual Earnings,2012,Female,Clare,25 - 29 years,Euro,29249,CLARE,2555.0,9.571439274743389
Mean Annual Earnings,2012,Female,Clare,30 - 39 years,Euro,35232,CLARE,2746.0,8.452872006402758
Mean Annual Earnings,2012,Female,Clare,40 - 49 years,Euro,36045,CLARE,4666.0,14.8698173937984
Mean Annual Earnings,2012,Female,Clare,50 - 59 years,Euro,33212,CLARE,5042.0,17.89847355342563
Mean Annual Earnings,2012,Female,Clare,60 years and over,Euro,22048,CLARE,4388.0,24.847112117780295
Mean Annual Earnings,2012,Female,Cork,15 - 24 years,Euro,15806,CORK,1236.0,8.48318462594372
Mean Annual Earnings,2012,Female,Cork,15 years and over,Euro,32776,CORK,4488.0,15.865384615384615
Mean Annual Earnings,2012,Female,Cork,25 - 29 years,Euro,28442,CORK,1875.0,7.057627884217262
Mean Annual Earnings,2012,Female,Cork,30 - 39 years,Euro,36213,CORK,2747.0,8.208330843243889
Mean Annual Earnings,2012,Female,Cork,40 - 49 years,Euro,36484,CORK,6370.0,21.15295211529521
Mean Annual Earnings,2012,Female,Cork,50 - 59 years,Euro,33672,CORK,5707.0,20.407652422671195
Mean Annual Earnings,2012,Female,Cork,60 years and over,Euro,22142,CORK,5502.0,33.06490384615385
Mean Annual Earnings,2012,Female,Cavan,15 - 24 years,Euro,17279,CAVAN,1579.0,10.05732484076433
Mean Annual Earnings,2012,Female,Cavan,15 years and over,Euro,30670,CAVAN,3398.0,12.459665591082429
Mean Annual Earnings,2012,Female,Cavan,25 - 29 years,Euro,28110,CAVAN,2472.0,9.64193774865434
Mean Annual Earnings,2012,Female,Cavan,30 - 39 years,Euro,34218,CAVAN,1845.0,5.699193772588268
Mean Annual Earnings,2012,Female,Cavan,40 - 49 years,Euro,32738,CAVAN,3867.0,13.394063246856707
Mean Annual Earnings,2012,Female,Cavan,50 - 59 years,Euro,31213,CAVAN,5064.0,19.365941336188765
Mean Annual Earnings,2012,Female,Cavan,60 years and over,Euro,22451,CAVAN,4702.0,26.491633331455294
Mean Annual Earnings,2012,Female,Carlow,15 - 24 years,Euro,15572,CARLOW,988.0,6.774547449259463
Mean Annual Earnings,2012,Female,Carlow,15 years and over,Euro,31113,CARLOW,3961.0,14.588243959929287
Mean Annual Earnings,2012,Female,Carlow,25 - 29 years,Euro,27102,CARLOW,2333.0,9.419031854334047
Mean Annual Earnings,2012,Female,Carlow,30 - 39 years,Euro,34135,CARLOW,1711.0,5.276955341722181
Mean Annual Earnings,2012,Female,Carlow,40 - 49 years,Euro,34188,CARLOW,5087.0,17.48049895192605
Mean Annual Earnings,2012,Female,Carlow,50 - 59 years,Euro,31953,CARLOW,4907.0,18.143163499223544
Mean Annual Earnings,2012,Female,Carlow,60 years and over,Euro,23600,CARLOW,5534.0,30.63212664673973
Mean Annual Earnings,2012,Female,Donegal,15 - 24 years,Euro,14392,DONEGAL,2496.0,20.98184263618023
Mean Annual Earnings,2012,Female,Donegal,15 years and over,Euro,29635,DONEGAL,3948.0,15.369642231478958
Mean Annual Earnings,2012,Female,Donegal,25 - 29 years,Euro,26066,DONEGAL,3416.0,15.081677704194261
Mean Annual Earnings,2012,Female,Donegal,30 - 39 years,Euro,31975,DONEGAL,2169.0,7.2770583104073
Mean Annual Earnings,2012,Female,Donegal,40 - 49 years,Euro,32716,DONEGAL,3822.0,13.227659721741539
Mean Annual Earnings,2012,Female,Donegal,50 - 59 years,Euro,31758,DONEGAL,4191.0,15.20296006094243
Mean Annual Earnings,2012,Female,Donegal,60 years and over,Euro,20219,DONEGAL,4501.0,28.63595877338084
Mean Annual Earnings,2012,Female,Dublin,15 - 24 years,Euro,17126,DUBLIN,1082.0,6.743954126153079
Mean Annual Earnings,2012,Female,Dublin,15 years and over,Euro,37405,DUBLIN,5689.0,17.937318703493506
Mean Annual Earnings,2012,Female,Dublin,25 - 29 years,Euro,30070,DUBLIN,2014.0,7.178500142571999
Mean Annual Earnings,2012,Female,Dublin,30 - 39 years,Euro,40803,DUBLIN,3656.0,9.841979163862492
Mean Annual Earnings,2012,Female,Dublin,40 - 49 years,Euro,43271,DUBLIN,8062.0,22.8975546025164
Mean Annual Earnings,2012,Female,Dublin,50 - 59 years,Euro,39046,DUBLIN,6563.0,20.20441461687652
Mean Annual Earnings,2012,Female,Dublin,60 years and over,Euro,27626,DUBLIN,5457.0,24.615454012359603
Mean Annual Earnings,2012,Female,Galway,15 - 24 years,Euro,16441,GALWAY,1252.0,8.242807294752781
Mean Annual Earnings,2012,Female,Galway,15 years and over,Euro,33591,GALWAY,3866.0,13.005887300252313
Mean Annual Earnings,2012,Female,Galway,25 - 29 years,Euro,28890,GALWAY,2746.0,10.503365973072215
Mean Annual Earnings,2012,Female,Galway,30 - 39 years,Euro,35957,GALWAY,2371.0,7.059489072827964
Mean Annual Earnings,2012,Female,Galway,40 - 49 years,Euro,37448,GALWAY,5349.0,16.664070531792266
Mean Annual Earnings,2012,Female,Galway,50 - 59 years,Euro,35200,GALWAY,4424.0,14.374837535742136
Mean Annual Earnings,2012,Female,Galway,60 years and over,Euro,25361,GALWAY,4599.0,22.15104517869184
Mean Annual Earnings,2012,Female,Kildare,15 - 24 years,Euro,16398,KILDARE,1044.0,6.799531066822977
Mean Annual Earnings,2012,Female,Kildare,15 years and over,Euro,34636,KILDARE,4356.0,14.385733157199471
Mean Annual Earnings,2012,Female,Kildare,25 - 29 years,Euro,28979,KILDARE,1787.0,6.5717858193586345
Mean Annual Earnings,2012,Female,Kildare,30 - 39 years,Euro,38024,KILDARE,2136.0,5.951850200624164
Mean Annual Earnings,2012,Female,Kildare,40 - 49 years,Euro,38227,KILDARE,6033.0,18.73951668012673
Mean Annual Earnings,2012,Female,Kildare,50 - 59 years,Euro,36019,KILDARE,4960.0,15.969606233297917
Mean Annual Earnings,2012,Female,Kildare,60 years and over,Euro,25404,KILDARE,5109.0,25.173688100517367
Mean Annual Earnings,2012,Female,Kilkenny,15 - 24 years,Euro,15698,KILKENNY,1622.0,11.523159988633134
Mean Annual Earnings,2012,Female,Kilkenny,15 years and over,Euro,32284,KILKENNY,3517.0,12.22581430110891
Mean Annual Earnings,2012,Female,Kilkenny,25 - 29 years,Euro,29160,KILKENNY,1799.0,6.575052081429773
